screenName,total
Steelerbabe5858,5
beRealcoach,5
Lonestar357,5
natashabeitman,5
katiemickgee,5
carriedawnallen,5
SCJoson,5
KayCeeTHEdork,5
ClaudiaHirawat,5
AEI,5
Mvbennett26,5
Katherine022610,5
cjinky2016,5
GiedzinskiJ,5
xavvypls,5
marina282828,5
QueenDebrahB,5
Tutoanana,5
CrimsonMariner,5
randyslovacek,5
TrumpVsHilary,5
sherri_earl,5
DebAlwaystrump,5
CrazyGabey,5
drclgrab,5
Iamnowblue,5
Namednameless,5
obsidian_blue,5
24baseballReed,5
SpiritualGypsy,5
LiveFreeLA,5
moorefancy1,5
aNickel4thought,5
forcamilo13,5
tbs40,5
sportofchairs,5
runner__runner,5
TinaMorphis,5
kflo210,5
merehut,5
LCSheets,5
AlphaFoxWarfare,5
danijaeee,5
up_viking,5
IDreamOnDemand,5
BOOBSPACE,5
PingPongPlayaa,5
happydreams22,5
NancycBa1,5
cynthetta,5
j_esparza83,5
jjbeam22,5
deb6090,5
SylviaHandwerg4,5
Alexia_argooo,5
HeatherMallick,5
lilmeowmeoww,5
bfrasier1951,5
RSuz52,5
CalderonHenk,5
dsoderstrom,5
adrienne_kt,5
GoldieSue,5
SnowBuniCO,5
BekahHeald,5
poznanski_serge,5
Nizamster98,5
SnarkyC,5
miskwaadesi,5
fijghnh,5
Aagan86,5
VictoriaAveyard,5
rodliz1225,5
tahneeah,5
RobertaMZapf,5
Fraujanice1,5
BloodSpite,5
DeplorableCath,5
funrunners,5
MissMeggles,5
jonathan94002,5
ChristianDeW99,5
meltedmarbles,5
patvinzant,5
ramrhonda,5
J_dazzled,5
iacovet,5
Sohna_Jallow,5
agratlga,5
Forbespaula,5
Wisniewsgay,5
LucyZinkiewicz,5
LedaNeilson,5
watson1_z,5
BigDouchebag,5
Illinois_NOW,5
jjmartini21,5
MattM3502,5
cafewithlait,5
starrysabbie,5
kyarbor,5
teamswangelista,5
LyonsbruceLyons,5
RayPride,5
talkwhatuknow,5
gl_escobar,5
cgianotas,5
huma2910,5
sassysdreams,5
hopeuno,5
IowaPeg,5
PlainPlaneJane,5
MrMannnnnnnnnn,5
Daniell30653742,5
AdairTim,5
NaomiFae,5
BrandonMeyers23,5
gschiabor,5
BullandBearMUS,5
walterbiscardi,5
SanrioTrash,5
HillaryFan2016,5
wendydcoe,5
Colten_Hibbs,5
damnitpam,5
OzmasMirror,5
KateAlex1984,5
kkalmes2,5
Patches1880,5
5augiesrule,5
fyourcupcakes,5
goddessmila44,5
MackJ,5
Mferris67,5
AlexisJKostun,5
amanda_rcarter,5
itsmetaytay12,5
bluewasp64,5
imnotkenna,5
thetimethief,5
go4marshall,5
JustinAion,5
CarolFoster13,5
JoanneTarpon07,5
