(011401,1)
(011402,3)
(011403,93)
(011404,48)
(011405,48)
(011406,49)
(011407,47)
(011408,49)
(011409,47)
(011410,48)
(011411,48)
(011412,48)
(011413,48)
(011414,49)
(011415,48)
(011416,47)
(011417,48)
(011418,48)
(011419,48)
(011420,48)
(011421,48)
(011422,48)
(011423,48)
(011424,49)
(011425,48)
(011426,47)
(011427,49)
(011428,47)
(011429,48)
(011430,48)
(011431,48)
(011432,48)
(011433,48)
(011434,48)
(011435,48)
(011436,48)
(011437,48)
(011438,48)
(011439,48)
(011440,48)
(011441,48)
(011442,48)
(011443,48)
(011444,49)
(011445,47)
(011446,48)
(011447,48)
(011448,48)
(011449,49)
(011450,47)
(011451,48)
(011452,48)
(011453,48)
(011454,48)
(011455,48)
(011456,48)
(011457,48)
(011458,48)
(011459,48)
(011500,49)
(011501,47)
(011502,48)
(011503,51)
(011504,45)
(011505,48)
(011506,48)
(011507,49)
(011508,48)
(011509,47)
(011510,48)
(011511,48)
(011512,48)
(011513,48)
(011514,48)
(011515,48)
(011516,49)
(011517,47)
(011518,48)
(011519,48)
(011520,48)
(011521,48)
(011522,50)
(011523,49)
(011524,46)
(011525,47)
(011526,48)
(011527,48)
(011528,48)
(011529,48)
(011530,48)
(011531,48)
(011532,48)
(011533,48)
(011534,48)
(011535,48)
(011536,48)
(011537,48)
(011538,48)
(011539,48)
(011540,48)
(011541,48)
(011542,48)
(011543,48)
(011544,48)
(011545,48)
(011546,48)
(011547,49)
(011548,47)
(011549,48)
(011550,48)
(011551,49)
(011552,48)
(011553,47)
(011554,48)
(011555,49)
(011556,47)
(011557,48)
(011558,48)
(011559,48)
(011600,49)
(011601,47)
(011602,55)
(011603,41)
(011604,48)
(011605,48)
(011606,48)
(011607,48)
(011608,48)
(011609,48)
(011610,49)
(011611,47)
(011612,48)
(011613,49)
(011614,48)
(011615,47)
(011616,48)
(011617,49)
(011618,47)
(011619,48)
(011620,48)
(011621,49)
(011622,47)
(011623,48)
(011624,48)
(011625,48)
(011626,48)
(011627,48)
(011628,48)
(011629,48)
(011630,48)
(011631,48)
(011632,48)
(011633,49)
(011634,47)
(011635,48)
(011636,48)
(011637,48)
(011638,48)
(011639,48)
(011640,48)
(011641,48)
(011642,48)
(011643,48)
(011644,49)
(011645,47)
(011646,48)
(011647,48)
(011648,48)
(011649,48)
(011650,48)
(011651,48)
(011652,48)
(011653,48)
(011654,48)
(011655,49)
(011656,47)
(011657,49)
(011658,47)
(011659,48)
(011700,48)
(011701,48)
(011702,48)
(011703,49)
(011704,47)
(011705,48)
(011706,48)
(011707,48)
(011708,48)
(011709,48)
(011710,48)
(011711,48)
(011712,49)
(011713,47)
(011714,48)
(011715,50)
(011716,49)
(011717,48)
(011718,46)
(011719,47)
(011720,48)
(011721,48)
(011722,48)
(011723,49)
(011724,47)
(011725,48)
(011726,48)
(011727,48)
(011728,48)
(011729,48)
(011730,48)
(011731,48)
(011732,48)
(011733,48)
(011734,48)
(011735,48)
(011736,48)
(011737,48)
(011738,48)
(011739,48)
(011740,48)
(011741,48)
(011742,48)
(011743,48)
(011744,49)
(011745,47)
(011746,48)
(011747,48)
(011748,48)
(011749,48)
(011750,48)
(011751,48)
(011752,48)
(011753,48)
(011754,48)
(011755,50)
(011756,46)
(011757,48)
(011758,49)
(011759,47)
(011800,48)
(011801,48)
(011802,48)
(011803,48)
(011804,48)
(011805,50)
(011806,50)
(011807,49)
(011808,49)
(011809,49)
(011810,54)
(011811,55)
(011812,50)
(011813,49)
(011814,48)
(011815,51)
(011816,48)
(011817,53)
(011818,42)
(011819,34)
(011820,37)
(011821,48)
(011822,48)
(011823,49)
(011824,47)
(011825,48)
(011826,48)
(011827,48)
(011828,48)
(011829,48)
(011830,48)
(011831,49)
(011832,47)
(011833,48)
(011834,48)
(011835,48)
(011836,48)
(011837,48)
(011838,49)
(011839,48)
(011840,47)
(011841,48)
(011842,48)
(011843,48)
(011844,48)
(011845,48)
(011846,77)
(011847,20)
(011848,51)
(011849,66)
(011850,30)
(011851,51)
(011852,48)
(011853,50)
(011854,50)
(011855,50)
(011856,48)
(011857,48)
(011858,50)
(011859,45)
(011900,45)
(011901,48)
(011902,39)
(011903,48)
(011904,48)
(011905,48)
(011906,49)
(011907,47)
(011908,48)
(011909,49)
(011910,47)
(011911,50)
(011912,46)
(011913,48)
(011914,48)
(011915,48)
(011916,49)
(011917,47)
(011918,48)
(011919,48)
(011920,48)
(011921,48)
(011922,48)
(011923,48)
(011924,48)
(011925,48)
(011926,48)
(011927,50)
(011928,47)
(011929,47)
(011930,49)
(011931,47)
(011932,48)
(011933,48)
(011934,48)
(011935,48)
(011936,48)
(011937,49)
(011938,48)
(011939,49)
(011940,46)
(011941,49)
(011942,47)
(011943,48)
(011944,48)
(011945,48)
(011946,48)
(011947,48)
(011948,48)
(011949,48)
(011950,48)
(011951,48)
(011952,48)
(011953,48)
(011954,48)
(011955,48)
(011956,48)
(011957,48)
(011958,48)
(011959,48)
(012000,48)
(012001,49)
(012002,47)
(012003,48)
(012004,48)
(012005,48)
(012006,48)
(012007,48)
(012008,48)
(012009,48)
(012010,50)
(012011,48)
(012012,48)
(012013,48)
(012014,48)
(012015,48)
(012016,48)
(012017,48)
(012018,48)
(012019,49)
(012020,68)
(012021,40)
(012022,33)
(012023,50)
(012024,47)
(012025,49)
(012026,48)
(012027,47)
(012028,47)
(012029,48)
(012030,48)
(012031,50)
(012032,46)
(012033,48)
(012034,48)
(012035,48)
(012036,48)
(012037,48)
(012038,48)
(012039,48)
(012040,49)
(012041,48)
(012042,47)
(012043,48)
(012044,48)
(012045,51)
(012046,61)
(012047,40)
(012048,41)
(012049,48)
(012050,48)
(012051,48)
(012052,50)
(012053,49)
(012054,48)
(012055,50)
(012056,48)
(012057,48)
(012058,48)
(012059,49)
(012100,48)
(012101,46)
(012102,43)
(012103,48)
(012104,48)
(012105,48)
(012106,48)
(012107,48)
(012108,48)
(012109,48)
(012110,48)
(012111,48)
(012112,48)
(012113,48)
(012114,48)
(012115,48)
(012116,48)
(012117,48)
(012118,48)
(012119,49)
(012120,47)
(012121,48)
(012122,48)
(012123,48)
(012124,49)
(012125,47)
(012126,49)
(012127,47)
(012128,48)
(012129,48)
(012130,49)
(012131,47)
(012132,48)
(012133,48)
(012134,48)
(012135,48)
(012136,48)
(012137,48)
(012138,48)
(012139,48)
(012140,48)
(012141,48)
(012142,48)
(012143,48)
(012144,48)
(012145,49)
(012146,47)
(012147,48)
(012148,48)
(012149,48)
(012150,48)
(012151,48)
(012152,48)
(012153,49)
(012154,47)
(012155,49)
(012156,47)
(012157,48)
(012158,48)
(012159,48)
(012200,48)
(012201,48)
(012202,48)
(012203,48)
(012204,48)
(012205,48)
(012206,49)
(012207,47)
(012208,48)
(012209,48)
(012210,48)
(012211,49)
(012212,47)
(012213,48)
(012214,48)
(012215,48)
(012216,48)
(012217,49)
(012218,47)
(012219,48)
(012220,48)
(012221,48)
(012222,48)
(012223,48)
(012224,48)
(012225,51)
(012226,49)
(012227,44)
(012228,48)
(012229,48)
(012230,48)
(012231,48)
(012232,48)
(012233,48)
(012234,48)
(012235,48)
(012236,48)
(012237,48)
(012238,48)
